Sat Oct 31 2020 09:35:49 GMT-0400 (Eastern Daylight Time), 53.6%
Sat Oct 31 2020 09:36:49 GMT-0400 (Eastern Daylight Time), 53.5%
Sat Oct 31 2020 09:37:49 GMT-0400 (Eastern Daylight Time), 53.9%
Sat Oct 31 2020 09:38:49 GMT-0400 (Eastern Daylight Time), 54.1%
Sat Oct 31 2020 09:39:49 GMT-0400 (Eastern Daylight Time), 54.1%
Sat Oct 31 2020 09:40:49 GMT-0400 (Eastern Daylight Time), 54.2%
Sat Oct 31 2020 09:41:49 GMT-0400 (Eastern Daylight Time), 54.0%
Sat Oct 31 2020 09:42:49 GMT-0400 (Eastern Daylight Time), 53.6%
Sat Oct 31 2020 09:43:49 GMT-0400 (Eastern Daylight Time), 53.1%
Sat Oct 31 2020 09:44:51 GMT-0400 (Eastern Daylight Time), 53.1%
Sat Oct 31 2020 09:45:51 GMT-0400 (Eastern Daylight Time), 52.0%
Sat Oct 31 2020 09:46:51 GMT-0400 (Eastern Daylight Time), 51.6%
Sat Oct 31 2020 09:47:51 GMT-0400 (Eastern Daylight Time), 51.1%
Sat Oct 31 2020 09:48:51 GMT-0400 (Eastern Daylight Time), 50.7%
Sat Oct 31 2020 09:49:52 GMT-0400 (Eastern Daylight Time), 50.3%
Sat Oct 31 2020 09:50:52 GMT-0400 (Eastern Daylight Time), 50.6%
Sat Oct 31 2020 09:51:52 GMT-0400 (Eastern Daylight Time), 50.0%
Sat Oct 31 2020 09:52:53 GMT-0400 (Eastern Daylight Time), 50.6%
Sat Oct 31 2020 09:53:53 GMT-0400 (Eastern Daylight Time), 50.3%
Sat Oct 31 2020 09:54:53 GMT-0400 (Eastern Daylight Time), 50.9%
Sat Oct 31 2020 09:55:54 GMT-0400 (Eastern Daylight Time), 51.3%
Sat Oct 31 2020 09:56:54 GMT-0400 (Eastern Daylight Time), 51.2%
Sat Oct 31 2020 09:57:54 GMT-0400 (Eastern Daylight Time), 47.5%
Sat Oct 31 2020 09:58:54 GMT-0400 (Eastern Daylight Time), 49.1%
Sat Oct 31 2020 09:59:54 GMT-0400 (Eastern Daylight Time), 51.6%
Sat Oct 31 2020 10:00:59 GMT-0400 (Eastern Daylight Time), 53.3%
Sat Oct 31 2020 10:02:00 GMT-0400 (Eastern Daylight Time), 53.4%
Sat Oct 31 2020 10:03:00 GMT-0400 (Eastern Daylight Time), 54.1%
Sat Oct 31 2020 10:04:00 GMT-0400 (Eastern Daylight Time), 54.8%
Sat Oct 31 2020 10:05:00 GMT-0400 (Eastern Daylight Time), 55.2%
Sat Oct 31 2020 10:06:00 GMT-0400 (Eastern Daylight Time), 55.6%
Sat Oct 31 2020 10:07:00 GMT-0400 (Eastern Daylight Time), 55.8%
Sat Oct 31 2020 10:08:00 GMT-0400 (Eastern Daylight Time), 55.7%
Sat Oct 31 2020 10:09:00 GMT-0400 (Eastern Daylight Time), 55.7%
Sat Oct 31 2020 10:10:00 GMT-0400 (Eastern Daylight Time), 55.3%
Sat Oct 31 2020 10:11:00 GMT-0400 (Eastern Daylight Time), 55.0%
Sat Oct 31 2020 10:12:00 GMT-0400 (Eastern Daylight Time), 54.7%
Sat Oct 31 2020 10:13:00 GMT-0400 (Eastern Daylight Time), 54.2%
Sat Oct 31 2020 10:14:01 GMT-0400 (Eastern Daylight Time), 54.3%
Sat Oct 31 2020 10:15:01 GMT-0400 (Eastern Daylight Time), 53.5%
Sat Oct 31 2020 10:16:02 GMT-0400 (Eastern Daylight Time), 53.6%
Sat Oct 31 2020 10:17:02 GMT-0400 (Eastern Daylight Time), 53.2%
Sat Oct 31 2020 10:18:02 GMT-0400 (Eastern Daylight Time), 53.2%
Sat Oct 31 2020 10:19:02 GMT-0400 (Eastern Daylight Time), 53.3%
Sat Oct 31 2020 10:20:02 GMT-0400 (Eastern Daylight Time), 53.4%
Sat Oct 31 2020 10:21:02 GMT-0400 (Eastern Daylight Time), 53.7%
Sat Oct 31 2020 10:22:03 GMT-0400 (Eastern Daylight Time), 54.6%
Sat Oct 31 2020 10:23:03 GMT-0400 (Eastern Daylight Time), 55.1%
Sat Oct 31 2020 10:24:04 GMT-0400 (Eastern Daylight Time), 55.4%
Sat Oct 31 2020 10:25:04 GMT-0400 (Eastern Daylight Time), 56.0%
Sat Oct 31 2020 10:26:05 GMT-0400 (Eastern Daylight Time), 56.2%
Sat Oct 31 2020 10:27:05 GMT-0400 (Eastern Daylight Time), 56.7%
Sat Oct 31 2020 10:28:06 GMT-0400 (Eastern Daylight Time), 57.8%
Sat Oct 31 2020 10:29:06 GMT-0400 (Eastern Daylight Time), 58.2%
Sat Oct 31 2020 10:30:07 GMT-0400 (Eastern Daylight Time), 58.8%
Sat Oct 31 2020 10:31:07 GMT-0400 (Eastern Daylight Time), 59.2%
Sat Oct 31 2020 10:32:07 GMT-0400 (Eastern Daylight Time), 59.0%
Sat Oct 31 2020 10:33:08 GMT-0400 (Eastern Daylight Time), 59.7%
Sat Oct 31 2020 10:34:08 GMT-0400 (Eastern Daylight Time), 59.3%
Sat Oct 31 2020 10:35:08 GMT-0400 (Eastern Daylight Time), 59.2%
Sat Oct 31 2020 10:36:08 GMT-0400 (Eastern Daylight Time), 59.0%
Sat Oct 31 2020 10:37:08 GMT-0400 (Eastern Daylight Time), 58.7%
Sat Oct 31 2020 10:38:09 GMT-0400 (Eastern Daylight Time), 58.5%
Sat Oct 31 2020 10:39:09 GMT-0400 (Eastern Daylight Time), 57.6%
Sat Oct 31 2020 10:40:09 GMT-0400 (Eastern Daylight Time), 57.1%
Sat Oct 31 2020 10:41:09 GMT-0400 (Eastern Daylight Time), 56.6%
Sat Oct 31 2020 10:42:09 GMT-0400 (Eastern Daylight Time), 56.0%
Sat Oct 31 2020 10:43:09 GMT-0400 (Eastern Daylight Time), 55.6%
Sat Oct 31 2020 10:44:09 GMT-0400 (Eastern Daylight Time), 55.8%
Sat Oct 31 2020 10:45:10 GMT-0400 (Eastern Daylight Time), 55.5%
Sat Oct 31 2020 10:46:10 GMT-0400 (Eastern Daylight Time), 55.1%
Sat Oct 31 2020 10:47:11 GMT-0400 (Eastern Daylight Time), 55.2%
Sat Oct 31 2020 10:48:11 GMT-0400 (Eastern Daylight Time), 55.6%
Sat Oct 31 2020 10:49:11 GMT-0400 (Eastern Daylight Time), 55.9%
Sat Oct 31 2020 10:50:11 GMT-0400 (Eastern Daylight Time), 56.8%
Sat Oct 31 2020 10:51:11 GMT-0400 (Eastern Daylight Time), 56.6%
Sat Oct 31 2020 10:52:12 GMT-0400 (Eastern Daylight Time), 57.6%
Sat Oct 31 2020 10:53:13 GMT-0400 (Eastern Daylight Time), 57.7%
Sat Oct 31 2020 10:54:13 GMT-0400 (Eastern Daylight Time), 58.2%
Sat Oct 31 2020 10:55:13 GMT-0400 (Eastern Daylight Time), 58.7%
Sat Oct 31 2020 10:56:13 GMT-0400 (Eastern Daylight Time), 59.1%
Sat Oct 31 2020 10:57:14 GMT-0400 (Eastern Daylight Time), 60.1%
Sat Oct 31 2020 10:58:14 GMT-0400 (Eastern Daylight Time), 60.0%
Sat Oct 31 2020 10:59:14 GMT-0400 (Eastern Daylight Time), 60.8%
Sat Oct 31 2020 11:00:14 GMT-0400 (Eastern Daylight Time), 60.6%
Sat Oct 31 2020 11:01:15 GMT-0400 (Eastern Daylight Time), 60.6%
Sat Oct 31 2020 11:02:15 GMT-0400 (Eastern Daylight Time), 61.1%
Sat Oct 31 2020 11:03:15 GMT-0400 (Eastern Daylight Time), 60.4%
Sat Oct 31 2020 11:04:16 GMT-0400 (Eastern Daylight Time), 60.5%
Sat Oct 31 2020 11:05:16 GMT-0400 (Eastern Daylight Time), 59.7%
Sat Oct 31 2020 11:06:16 GMT-0400 (Eastern Daylight Time), 59.0%
Sat Oct 31 2020 11:07:16 GMT-0400 (Eastern Daylight Time), 58.4%
Sat Oct 31 2020 11:08:16 GMT-0400 (Eastern Daylight Time), 57.8%
Sat Oct 31 2020 11:09:16 GMT-0400 (Eastern Daylight Time), 57.4%
Sat Oct 31 2020 11:10:16 GMT-0400 (Eastern Daylight Time), 57.0%
Sat Oct 31 2020 11:11:16 GMT-0400 (Eastern Daylight Time), 56.7%
Sat Oct 31 2020 11:12:16 GMT-0400 (Eastern Daylight Time), 56.7%
Sat Oct 31 2020 11:13:16 GMT-0400 (Eastern Daylight Time), 56.7%
Sat Oct 31 2020 11:14:18 GMT-0400 (Eastern Daylight Time), 57.4%
Sat Oct 31 2020 11:15:18 GMT-0400 (Eastern Daylight Time), 57.7%
Sat Oct 31 2020 11:16:19 GMT-0400 (Eastern Daylight Time), 58.2%
Sat Oct 31 2020 11:17:19 GMT-0400 (Eastern Daylight Time), 58.5%
Sat Oct 31 2020 11:18:19 GMT-0400 (Eastern Daylight Time), 58.5%
Sat Oct 31 2020 12:08:37 GMT-0400 (Eastern Daylight Time), 58.4%
Sat Oct 31 2020 12:09:38 GMT-0400 (Eastern Daylight Time), 58.8%
